PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDB,FileName,LineNumber,LinesOfCode,EWIsNumber,HighestEWISeverity,UDFsUsed,EWIs,CharacterCount,ConversionStatus,CharacterConversionPercentage,LoCConversionPercentage
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,14,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,147,1,0,,,,134,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,13,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,146,1,0,,,,129,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,12,SELECT,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,115,1,0,,,,27,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,11,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,113,1,0,,,,36,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,10,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,108,1,0,,,,137,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,9,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,107,1,0,,,,123,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,8,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,98,1,0,,,,79,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,7,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,95,1,0,,,,67,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,6,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,93,1,0,,,,80,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,5,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,90,1,0,,,,85,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,4,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,88,1,0,,,,101,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,3,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,87,1,0,,,,49,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,2,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,85,1,0,,,,79,Success,100%,100%
90b92e9d-6671-408c-b76e-e2a99c6c0cd3,SQL,1,CALL,<NoDB>.<NoSchema>.<NoPackage>,Procedures.sql,82,1,0,,,,51,Success,100%,100%
